sample_group,label,n,fee_pol_mean,fee_pol_median,fee_pol_min,fee_pol_max,fee_pol_p25,fee_pol_p75,fee_pol_p95,fee_usd_mean,fee_usd_median,fee_usd_min,fee_usd_max,fee_usd_p25,fee_usd_p75,fee_usd_p95,fee_jpy_mean,fee_jpy_median,fee_jpy_min,fee_jpy_max,fee_jpy_p25,fee_jpy_p75,fee_jpy_p95
low_baseline,低い基準ガス価格,192,0.003869620000041441,0.0027638119058769,0.0012370800105976,0.0365178800050332,0.002150786936545625,0.0041373502798474,0.008436047204200395,0.0007343671327702458,0.00053621258760485,0.0002350452020135,0.0065732184009059,0.00042867581210052495,0.000765793926944475,0.00156362452484723,0.11263922048065407,0.08221896926610262,0.03579503381463591,1.0134588130516717,0.06546808020768638,0.1171614219044602,0.24125613923872438
spike_day,急騰日,166,0.028419673376465997,0.017083167564353748,0.0012327032259728,0.2763033111824244,0.0064063823763005,0.0403585323120219,0.08370258164900393,0.0034327962923021158,0.0024136329222154,0.0001232703225972,0.0359194304537151,0.000810995079987125,0.004349932688856275,0.0113636578645514,0.5339453672744696,0.3758474576288594,0.01922523951225931,5.619235700179191,0.126737889524705,0.6737445702119158,1.768519193260889
post_expansion_high_baseline,供給枠拡大後の高い基準ガス価格,161,0.02789731844510055,0.0269062654621715,0.0042854882619709,0.1090950517649319,0.0213944767656149,0.0314701548061009,0.0406951226298546,0.0025276252614032328,0.0022782396432919,0.0003856939435773,0.0109095051764931,0.0018931730827041,0.0029834610950649,0.0041714866326255,0.4003341889738818,0.36378608860789446,0.06177274200334037,1.6985008609282106,0.3003798190990842,0.4706042400690722,0.6519051514903209
